,V2
_Sequence_random_8358.fasta,4.425
_Sequence_random_6509.fasta,4.324
_Sequence_random_5671.fasta,4.02
_Sequence_random_5349.fasta,3.836
_Sequence_random_2628.fasta,3.731
_Sequence_random_382.fasta,3.729
_Sequence_random_328.fasta,3.721
_Sequence_random_2980.fasta,3.585
_Sequence_random_7296.fasta,3.504
_Sequence_random_3278.fasta,3.434
_Sequence_random_9959.fasta,3.426
_Sequence_random_2123.fasta,3.426
_Sequence_random_9224.fasta,3.376
_Sequence_random_9195.fasta,3.376
_Sequence_random_717.fasta,3.343
_Sequence_random_1307.fasta,3.326
_Sequence_random_5138.fasta,3.325
_Sequence_random_8501.fasta,3.324
_Sequence_random_2457.fasta,3.284
_Sequence_random_9087.fasta,3.28
_Sequence_random_775.fasta,3.266
_Sequence_random_9606.fasta,3.265
_Sequence_random_1774.fasta,3.261
_Sequence_random_2332.fasta,3.218
_Sequence_random_7698.fasta,3.212
_Sequence_random_2499.fasta,3.188
_Sequence_random_4899.fasta,3.16
_Sequence_random_3114.fasta,3.16
_Sequence_random_1449.fasta,3.16
_Sequence_random_9525.fasta,3.153
_Sequence_random_8748.fasta,3.134
_Sequence_random_675.fasta,3.129
_Sequence_random_1356.fasta,3.126
_Sequence_random_5450.fasta,3.106
_Sequence_random_207.fasta,3.102
_Sequence_random_1897.fasta,3.096
_Sequence_random_1124.fasta,3.083
_Sequence_random_6556.fasta,3.083
_Sequence_random_9715.fasta,3.079
_Sequence_random_67.fasta,3.058
_Sequence_random_8621.fasta,3.034
_Sequence_random_2.fasta,3.031
_Sequence_random_5858.fasta,3.02
_Sequence_random_451.fasta,2.994
_Sequence_random_5558.fasta,2.985
_Sequence_random_1784.fasta,2.984
_Sequence_random_2846.fasta,2.982
_Sequence_random_2218.fasta,2.977
_Sequence_random_1714.fasta,2.968
_Sequence_random_2702.fasta,2.966
_Sequence_random_3366.fasta,2.96
_Sequence_random_4926.fasta,2.956
_Sequence_random_6268.fasta,2.942
_Sequence_random_1402.fasta,2.931
_Sequence_random_5173.fasta,2.921
_Sequence_random_8478.fasta,2.917
_Sequence_random_4816.fasta,2.906
_Sequence_random_8338.fasta,2.906
_Sequence_random_3839.fasta,2.898
_Sequence_random_2725.fasta,2.898
_Sequence_random_8115.fasta,2.896
_Sequence_random_6270.fasta,2.874
_Sequence_random_5637.fasta,2.873
_Sequence_random_1179.fasta,2.868
_Sequence_random_8946.fasta,2.867
_Sequence_random_711.fasta,2.865
_Sequence_random_7507.fasta,2.855
_Sequence_random_7942.fasta,2.848
_Sequence_random_3401.fasta,2.837
_Sequence_random_317.fasta,2.824
_Sequence_random_2053.fasta,2.823
_Sequence_random_6008.fasta,2.821
_Sequence_random_8276.fasta,2.817
_Sequence_random_6856.fasta,2.791
_Sequence_random_946.fasta,2.783
_Sequence_random_3405.fasta,2.761
_Sequence_random_636.fasta,2.76
_Sequence_random_4854.fasta,2.759
_Sequence_random_6969.fasta,2.741
_Sequence_random_2691.fasta,2.715
_Sequence_random_6828.fasta,2.712
_Sequence_random_9594.fasta,2.704
_Sequence_random_7278.fasta,2.697
_Sequence_random_1045.fasta,2.694
_Sequence_random_3327.fasta,2.691
_Sequence_random_9909.fasta,2.689
_Sequence_random_1304.fasta,2.685
_Sequence_random_2449.fasta,2.683
_Sequence_random_1218.fasta,2.677
_Sequence_random_3638.fasta,2.672
_Sequence_random_8687.fasta,2.67
_Sequence_random_8125.fasta,2.664
_Sequence_random_474.fasta,2.662
_Sequence_random_7354.fasta,2.65
_Sequence_random_6052.fasta,2.639
_Sequence_random_1614.fasta,2.634
_Sequence_random_7393.fasta,2.632
_Sequence_random_3527.fasta,2.623
_Sequence_random_7867.fasta,2.618
_Sequence_random_8330.fasta,2.604
